InvoiceNumber,Customer,CustomerEmail,InvoiceDate,Terms,DueDate,Amount,Status,PaymentDate,AmountPaid,DaysToPay,DaysPastDue_AtPayment,DaysPastDue_Current
INV-5198,Seoul Pharma Trading,finance@seoulpharma.co,2026-04-23,Net 30,2026-05-23,17450,Paid,2026-07-13,17450,81,49,
INV-5199,Harborline Interiors,kim@harborlineinteriors.com,2026-04-24,Net 15,2026-05-09,4500,Paid,2026-05-11,4500,17,2,
INV-5200,Meridian Health Partners,billing@meridianhp.com,2026-04-22,Net 30,2026-05-22,7650,Paid,2026-06-16,7650,55,25,
INV-5201,Ridgeline Builders,ap@ridgelinebuilders.com,2026-04-13,Net 30,2026-05-13,6350,Paid,2026-06-16,6350,64,34,
INV-5202,Orchid Labs,finance@orchidlabs.io,2026-04-13,Net 30,2026-05-13,11600,Paid,2026-06-01,11600,49,17,
INV-5203,Pinewood Consulting,amara@pinewoodconsulting.com,2026-04-16,Net 15,2026-05-01,2350,Paid,2026-05-04,2350,18,2,
INV-5204,Cascade Logistics,payables@cascadelogistics.com,2026-04-10,Net 30,2026-05-10,33350,Paid,2026-05-19,33350,39,9,
INV-5205,Lakeshore Events,accounts@lakeshoreevents.com,2026-04-06,Net 30,2026-05-06,8600,Paid,2026-05-04,8600,28,-4,
INV-5206,Apex Mechanical,accounts@apexmech.com,2026-04-17,Net 30,2026-05-17,1800,Paid,2026-05-19,1800,32,2,
INV-5207,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-04-13,Net 30,2026-05-13,21550,Paid,2026-05-25,21550,42,11,
INV-5208,Foundry Dev Collective,ops@foundrydev.co,2026-04-06,Net 30,2026-05-06,13050,Paid,2026-05-11,13050,35,3,
INV-5209,Granite Civil Group,ap@granitecivil.com,2026-05-25,Net 45,2026-07-09,26250,Outstanding,,0,,,13
INV-5210,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-05-04,Net 30,2026-06-03,12200,Paid,2026-06-15,12200,42,12,
INV-5211,Ridgeline Builders,ap@ridgelinebuilders.com,2026-05-22,Net 30,2026-06-21,18950,Outstanding,,0,,,31
INV-5212,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-05-25,Net 30,2026-06-24,18950,Paid,2026-07-09,18950,45,15,
INV-5213,TrueNorth MSP,billing@truenorthmsp.com,2026-05-15,Net 15,2026-05-30,4500,Paid,2026-06-01,4500,17,2,
INV-5214,Seoul Pharma Trading,finance@seoulpharma.co,2026-05-18,Net 30,2026-06-17,18550,Outstanding,,0,,,35
INV-5215,Apex Mechanical,accounts@apexmech.com,2026-05-07,Net 30,2026-06-06,4250,Paid,2026-06-18,4250,42,12,
INV-5216,Cascade Logistics,payables@cascadelogistics.com,2026-05-15,Net 30,2026-06-14,31100,Paid,2026-06-22,31100,38,6,
INV-5217,Meridian Health Partners,billing@meridianhp.com,2026-05-25,Net 30,2026-06-24,7200,Paid,2026-07-13,7200,49,19,
INV-5218,Northgate Property Mgmt,vendors@northgatepm.com,2026-05-07,Net 30,2026-06-06,6250,Paid,2026-07-17,6250,71,41,
INV-5219,Stellar Staffing Co,finance@stellarstaffing.co,2026-05-05,Net 15,2026-05-20,19850,Paid,2026-05-25,19850,20,5,
INV-5220,Lakeshore Events,accounts@lakeshoreevents.com,2026-05-12,Net 30,2026-06-11,9200,Paid,2026-07-06,9200,55,23,
INV-5221,Foundry Dev Collective,ops@foundrydev.co,2026-05-04,Net 30,2026-06-03,26800,Paid-Partial-then-Settled,2026-06-10,26800,37,7,
INV-5222,Orchid Labs,finance@orchidlabs.io,2026-05-06,Net 30,2026-06-05,6200,Paid,2026-06-12,6200,37,7,
INV-5223,Apex Mechanical,accounts@apexmech.com,2026-05-18,Net 30,2026-06-17,2600,Paid,2026-06-15,2600,28,-2,
INV-5224,Foundry Dev Collective,ops@foundrydev.co,2026-06-08,Net 30,2026-07-08,29400,Outstanding,,0,,,14
INV-5225,Quarry & Co Wholesale,ap@quarryco.com,2026-06-01,Net 30,2026-07-01,6450,Paid,2026-07-20,6450,49,19,
INV-5226,Ridgeline Builders,ap@ridgelinebuilders.com,2026-06-15,Net 30,2026-07-15,23900,Outstanding,,0,,,7
INV-5227,Northgate Property Mgmt,vendors@northgatepm.com,2026-06-12,Net 30,2026-07-12,2600,Outstanding,,0,,,10
INV-5228,Pinewood Consulting,amara@pinewoodconsulting.com,2026-06-23,Net 15,2026-07-08,4400,Paid,2026-07-09,4400,16,1,
INV-5229,Lakeshore Events,accounts@lakeshoreevents.com,2026-06-05,Net 30,2026-07-05,3800,Paid,2026-07-16,3800,41,11,
INV-5230,Granite Civil Group,ap@granitecivil.com,2026-06-23,Net 45,2026-08-07,31600,Outstanding,,0,,,0
INV-5231,Apex Mechanical,accounts@apexmech.com,2026-06-25,Net 30,2026-07-25,6800,Outstanding,,0,,,0
INV-5232,Vantage Media Group,ap@vantagemedia.group,2026-06-03,Net 30,2026-07-03,3250,Outstanding,,0,,,19
INV-5233,Cascade Logistics,payables@cascadelogistics.com,2026-06-08,Net 30,2026-07-08,33050,Paid,2026-07-13,33050,35,3,
INV-5234,Ridgeline Builders,ap@ridgelinebuilders.com,2026-06-17,Net 30,2026-07-17,13600,Outstanding,,0,,,5
INV-5235,Bluefin Seafood Dist,payables@bluefindist.com,2026-06-25,Net 30,2026-07-25,4000,Outstanding,,0,,,0
INV-5236,Meridian Health Partners,billing@meridianhp.com,2026-06-15,Net 30,2026-07-15,10050,Outstanding,,0,,,7
INV-5237,Quarry & Co Wholesale,ap@quarryco.com,2026-06-22,Net 30,2026-07-22,6850,Outstanding,,0,,,0
INV-5238,Harborline Interiors,kim@harborlineinteriors.com,2026-07-20,Net 15,2026-08-04,2800,Outstanding,,0,,,0
INV-5239,Cascade Logistics,payables@cascadelogistics.com,2026-07-21,Net 30,2026-08-20,23450,Outstanding,,0,,,0
INV-5240,Northgate Property Mgmt,vendors@northgatepm.com,2026-07-14,Net 30,2026-08-13,1200,Outstanding,,0,,,0
INV-5241,Vantage Media Group,ap@vantagemedia.group,2026-07-13,Net 30,2026-08-12,6150,Outstanding,,0,,,0
INV-5242,Quarry & Co Wholesale,ap@quarryco.com,2026-07-03,Net 30,2026-08-02,7450,Outstanding,,0,,,0
INV-5243,Lakeshore Events,accounts@lakeshoreevents.com,2026-07-13,Net 30,2026-08-12,2900,Outstanding,,0,,,0
INV-5244,Stellar Staffing Co,finance@stellarstaffing.co,2026-07-17,Net 15,2026-08-01,14400,Outstanding,,0,,,0
INV-5245,Northgate Property Mgmt,vendors@northgatepm.com,2026-07-13,Net 30,2026-08-12,6700,Outstanding,,0,,,0
INV-5246,BlueRidge Hotels,karen.wu@blueridgehotels.com,2026-07-13,Net 30,2026-08-12,9050,Outstanding,,0,,,0
INV-5247,Pinewood Consulting,amara@pinewoodconsulting.com,2026-07-01,Net 15,2026-07-16,3100,Paid,2026-07-20,3100,19,2,
INV-5248,Foundry Dev Collective,ops@foundrydev.co,2026-07-22,Net 30,2026-08-21,24700,Outstanding,,0,,,0
INV-5249,Vantage Media Group,ap@vantagemedia.group,2026-07-24,Net 30,2026-08-23,12850,Outstanding,,0,,,0
INV-5250,Meridian Health Partners,billing@meridianhp.com,2026-07-13,Net 30,2026-08-12,11950,Outstanding,,0,,,0
